subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L392,392,54,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L540,540,79,2,14,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L572,572,63,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L679,679,47,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L804,804,38,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L808,808,57,1,14,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L836,836,48,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L865,865,67,1,14,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L866,866,56,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L940,940,25,1,3,0,0,0,False
